,Scoring
Acrostichum,a
Actiniopteris,ap
Actinostachys,a
Adiantopsis,ap
Adiantum,sp
Alansmia,ap
Alsophila,a
Amauropelta,a
Anemia,a
Angiopteris,a
Anogramma,a
Antrophyum,a
Arachniodes,sp
Argyrochosma,a
Arthropteris,sp
Ascogrammitis,ap
Aspidotis,a
Asplenium,sp
Astrolepis,a
Athyrium,a
Austroblechnum,ap
Azolla,a
Blechnopsis,ap
Blechnum,sp
Blotiella,a
Bolbitis,sp
Bommeria,a
Botrychium,a
Botrypus,a
Calymmodon,sp
Campyloneurum,ap
Ceradenia,a
Ceratopteris,a
Cheilanthes,sp
Cheiroglossa,a
Cheiropleuria,a
Christella,a
Chrysogrammitis,a
Cibotium,a
Cochlidium,sp
Coniogramme,ap
Cranfillia,ap
Cryptogramma,ap
Ctenitis,sp
Ctenopterella,ap
Ctenopteris,sp
Culcita,a
Cyathea,a
Cyclodium,ev
Cyclopeltis,sp
Cyrtomium,a
Cystopteris,a
Danaea,a
Dasygrammitis,a
Davallia,sp
Dennstaedtia,a
Deparia,sp
Dicksonia,a
Dicranopteris,a
Didymochlaena,ap
Diplaziopsis,ap
Diplazium,a
Diplopterygium,a
Dipteris,a
Doryopteris,sp
Aglaomorpha,sp
Dryopteris,ev
Elaphoglossum,sp
Enterosora,a
Ephemeropteris,a
Equisetum,ap
Eupodium,a
Gaga,ap
Galactodenia,ap
Gleichenella,a
Gleichenia,a
Goniophlebium,sp
Goniopteris,a
Grammitis,sp
Gymnocarpium,a
Haplopteris,a
Helminthostachys,a
Hemidictyum,a
Hemionitis,ap
Homalosorus,ev
Hymenophyllum,a
Hypolepis,a
Icarus,ap
Jamesonia,a
Japanobotrychium,a
Lastreopsis,a
Lecanopteris,sp
Lellingeria,ap
Lepisorus,sp
Leucostegia,sp
Leucotrichum,ap
Lindsaea,a
Llavea,ap
Lomaria,sp
Lomaridium,sp
Lomariocycas,sp
Lomariopsis,a
Lonchitis,ev
Lophosoria,a
Loxogramme,a
Loxsomopsis,a
Lygodium,a
Macrothelypteris,a
Mankyua,a
Marattia,a
Marsilea,a
Matonia,a
Matteuccia,a
Megalastrum,ap
Melpomene,ap
Meniscium,a
Metaxya,a
Microgramma,sp
Microlepia,ev
Micropolypodium,ap
Microsorum,ap
Monachosorum,a
Moranopteris,ap
Mycopteris,ap
Myriopteris,a
Nephrolepis,ap
Niphidium,ap
Notholaena,ap
Oceanopteris,ap
Odontosoria,a
Oleandra,sp
Olfersia,a
Onoclea,a
Onocleopsis,a
Onychium,ev
Ophioderma,a
Ophioglossum,a
Oreogrammitis,sp
Osmunda,a
Osmundastrum,a
Paesia,a
Parablechnum,ev
Parrisia,a
Pecluma,sp
Pellaea,ev
Pentarhizidium,a
Phanerophlebia,a
Phlebodium,ap
Pilularia,a
Plagiogyria,a
Pleocnemia,ev
Pleopeltis,sp
Polybotrya,a
Polypodium,sp
Polystichum,ev
Polytaenium,a
Prosaptia,a
Pseudophegopteris,ap
Psilotum,a
Pteridium,a
Pteris,ev
Pterozonium,ap
Ptisana,a
Pyrrosia,ap
Radiogrammitis,sp
Regnellidium,a
Rheopteris,a
Rumohra,a
Saccoloma,a
Sadleria,ap
Salpichlaena,a
Salvinia,a
Sceptridium,a
Schizaea,a
Scleroglossum,a
Scoliosorus,a
Selliguea,sp
Serpocaulon,ev
Sphaeropteris,a
Sphaerostephanos,a
Stegnogramma,ev
Stenogrammitis,ap
Sticherus,a
Stigmatopteris,sp
Tectaria,ev
Terpsichore,ap
Thelypteris,a
Themelium,ap
Thylacopteris,ap
Tmesipteris,a
Todea,a
Tomophyllum,ap
Trichomanes,a
Vaginularia,a
Vittaria,a
Woodsia,ev
Woodwardia,a
Xiphopterella,sp
Zygophlebia,a